Date,Close_Actual,Close_Predicted,Volume_Actual,Volume_Predicted
2024-01-01,67837.640625,65737.47214025023,33748230056.000004,25639043233.197586
2024-01-02,68896.109375,64725.85831744376,19967785809.0,25047931813.859745
2024-01-03,69362.554688,63922.395025780876,21204930369.0,24588974152.842384
2024-01-04,71631.359375,63525.7646770024,37261432669.0,24357918846.95677
2024-01-05,69139.015625,63661.68452425594,36426900409.0,24400939077.406303
2024-01-06,70587.882813,64109.81816046404,38318601774.0,24597967861.30903
2024-01-07,70060.609375,64712.14745588634,30153382940.999996,24866202639.9314
2024-01-08,67195.867188,65280.10853856222,44129299406.0,25111642587.308495
2024-01-09,63821.472656,65448.76554438479,52869738185.0,25164632771.13565
2024-01-10,65738.726563,65073.48299304217,49084320047.00001,24947902222.95953
2024-01-11,63426.210938,64335.54805344099,43595917654.0,24545896823.903053
2024-01-12,63811.863281,63368.46100903055,42847528078.0,24023855080.178658
2024-01-13,61276.691406,62299.97843100356,41915247049.0,23451229645.07529
2024-01-14,63512.753906,61200.431775747806,36006307335.0,22867123235.583717
2024-01-15,63843.570313,60155.94870900335,49920425401.0,22322559619.248215
2024-01-16,64994.441406,59291.443965236685,23097485495.0,21895185778.96715
2024-01-17,64926.644531,58761.821661550086,20506644853.0,21673624141.495457
2024-01-18,66837.679688,58692.82106531933,28282686673.0,21713981632.615753
2024-01-19,66407.273438,59168.69863289082,24310975583.0,22034355688.302643
2024-01-20,64276.898438,60055.58384152345,30276655120.0,22542388804.980587
2024-01-21,64481.707031,60996.09170736957,32155786816.0,23052764352.38645
2024-01-22,63755.320313,61725.97544334419,24139372950.000004,23439067666.747757
2024-01-23,63419.140625,62091.63577568695,19530783039.0,23629524553.73904
2024-01-24,63113.230469,62102.62687941974,17334827993.0,23627864519.596546
2024-01-25,63841.121094,61845.640785040974,26635912072.999996,23477709417.881847
2024-01-26,60636.855469,61461.82071575879,37840840057.0,23255621360.18712
2024-01-27,58254.011719,60896.91560821036,48439780271.0,22937744318.94443
2024-01-28,59123.433594,60157.90197142928,32711813559.0,22525349780.03643
2024-01-29,62889.835938,59306.06741661606,33172023048.0,22051788832.091038
2024-01-30,63891.472656,58457.426926179665,20620477992.0,21587118536.80143
2024-01-31,64031.132813,57797.49840342059,18296164805.0,21239924902.66136
2024-02-01,63161.949219,57526.733403506456,28697928697.0,21110301582.291313
2024-02-02,62334.816406,57717.55073191337,25930730982.0,21216330692.558872
2024-02-03,61187.941406,58221.93472366001,26088172222.0,21470942607.102474
2024-02-04,63049.960938,58734.399938435236,25453338161.0,21720180300.37435
2024-02-05,60792.777344,59209.00068077338,27804954693.999996,21939020707.380913
2024-02-06,60793.710938,59439.48964962006,13842272967.999998,22031598249.039104
2024-02-07,61448.394531,59399.69993286561,13800459405.0,21983334706.05056
2024-02-08,62901.449219,59205.0501274652,27889181179.0,21849919210.370094
2024-02-09,61552.789063,59038.022174526544,28186271527.000004,21723607602.40848
2024-02-10,66267.492188,58896.710842667,39815167074.0,21607061228.848866
2024-02-11,65231.582031,59019.474186654086,31573077993.999996,21620228697.655327
2024-02-12,67051.875,59435.340968258424,28031279310.0,21776865174.28544
2024-02-13,66940.804688,60136.61621409097,16712277406.000002,22068202558.939575
2024-02-14,66278.367188,60998.9475531501,19249094538.0,22423772959.327225
2024-02-15,71448.195313,61841.135873441825,43850655717.0,22753181110.21745
2024-02-16,70136.53125,62808.92537185996,46932005990.0,23129475477.110535
2024-02-17,69122.335938,63790.978088833006,32802561717.0,23512964253.7185
2024-02-18,67929.5625,64558.12791049743,41895680979.0,23804531424.977932
2024-02-19,68526.101563,64871.3343410127,29197308153.0,23903772778.189682
2024-02-20,69265.945313,64783.43152796544,15473071741.000002,23835705807.762978
2024-02-21,68518.09375,64513.49706484101,15628433737.0,23698434075.05183
2024-02-22,69394.554688,64189.01934950726,25870990717.0,23545717897.17266
2024-02-23,68296.21875,63939.926356570984,32722265965.0,23434935685.79072
2024-02-24,67578.09375,63725.061485838276,26707072906.000004,23345458174.334877
2024-02-25,68364.992188,63472.79244016639,29509712534.0,23241628052.24769
2024-02-26,67491.414063,63234.150201726225,27387283769.0,23147396047.031372
2024-02-27,67706.9375,63000.975497043895,11641495604.0,23058021591.386387
2024-02-28,67751.601563,62839.242966624726,17110588415.0,22997477695.152435
2024-02-29,68804.78125,62798.7047661128,32401285324.0,22981728260.490112
