Date,Close_Actual,Close_Predicted,Volume_Actual,Volume_Predicted
2015-01-01,16625.080078,14265.618561213521,9244361700.0,19552028547.650585
2015-01-02,16688.470703,14262.859101350638,12097775227.0,19445442488.766834
2015-01-03,16679.857422,14260.519384654668,13903079207.0,19343853448.111725
2015-01-04,16863.238281,14261.312679156736,18421743322.0,19249361166.99222
2015-01-05,16836.736328,14269.435412355742,13692758566.0,19166246189.01915
2015-01-06,16951.96875,14289.013719832688,14413662913.0,19097958836.302757
2015-01-07,16955.078125,14324.147628741926,7714767173.999999,19047618649.78851
2015-01-08,17091.144531,14378.248305442343,9768827914.0,19016177442.472336
2015-01-09,17196.554688,14451.22637878117,18624736866.0,19001956467.257015
2015-01-10,17446.292969,14536.070732032553,15808338949.0,19000281642.4661
2015-01-11,17934.896484,14632.984207588157,18372283782.0,19012035487.01751
2015-01-12,18869.587891,14753.16430797019,34971338710.0,19046789735.72337
2015-01-13,19909.574219000002,14923.868230601547,29225029694.0,19130048531.59418
2015-01-14,20976.298828,15187.926849402025,38967784639.0,19301946220.146603
2015-01-15,20880.798828,15596.738618913734,19298407543.0,19619217654.602436
2015-01-16,21169.632813,16131.779610428295,26792494050.0,20067692849.728294
2015-01-17,21161.519531,16742.958799076623,24999983362.0,20602990909.71797
2015-01-18,20688.78125,17359.427956632404,30005625418.0,21160625196.661636
2015-01-19,21086.792969,17891.23652409361,21152848261.0,21661193849.218697
2015-01-20,22676.552734,18293.868629851248,28799154318.999996,22061884894.10372
2015-01-21,22777.625,18610.089876758484,32442278429.000004,22399035884.33311
2015-01-22,22720.416016,18872.983658062258,24746386230.0,22701952985.159363
2015-01-23,22934.431641,19090.033050508642,26518700511.999996,22974338853.731483
2015-01-24,22636.46875,19260.64358530621,26405069715.0,23212192737.621517
2015-01-25,23117.859375,19363.378235834574,30685366709.0,23393505268.733974
2015-01-26,23032.777344,19403.480779169415,26357839322.0,23522504693.262318
2015-01-27,23078.728516,19390.089164638328,25383335641.0,23605989675.463207
2015-01-28,23031.089844,19336.325889143856,14712928378.999998,23653582940.130676
2015-01-29,23774.566406,19257.596932750173,27423687259.0,23672883302.00698
2015-01-30,22840.138672,19190.914002744834,27205595568.0,23694599804.565266
2015-01-31,23139.283203,19122.461724748806,22837828665.0,23705247558.73954
2015-02-01,23723.769531,19053.547528435123,26683255504.0,23704389881.094852
2015-02-02,23471.871094,19013.673935918603,32066936882.000004,23718358521.271416
2015-02-03,23449.322266000003,19010.006706144493,27083066007.0,23755876688.484695
2015-02-04,23331.847656,19040.915066617406,15639298538.000002,23816489395.203667
2015-02-05,22955.666016,19097.823403352984,19564262605.0,23888816723.411034
2015-02-06,22760.109375,19149.160603509492,23825006542.0,23941281492.505486
2015-02-07,23264.291016,19163.202920366322,27187964471.0,23945031217.33012
2015-02-08,22939.398438,19148.252833598268,25371367758.0,23910494002.9063
2015-02-09,21819.039062999997,19109.536045216406,32572572185.0,23845571988.996952
2015-02-10,21651.183594,19015.300691732966,27078406594.0,23728274111.602665
2015-02-11,21870.875,18856.191923045102,16356226232.0,23555561890.774883
2015-02-12,21788.203125,18655.42615546645,17821046406.0,23347820859.800102
2015-02-13,21808.101563,18441.449524002754,23918742607.0,23127983436.19021
2015-02-14,22220.804688,18239.360260026984,26792596581.0,22916960742.27616
2015-02-15,24307.841797,18083.39052755869,32483312908.999996,22744975455.549664
2015-02-16,23623.474609,18076.767020551564,39316664596.0,22706646678.36732
2015-02-17,24565.601563,18268.64788970707,41358451255.0,22850009588.573288
2015-02-18,24641.277344,18671.456729429727,19625427158.0,23190416093.03327
2015-02-19,24327.642578,19239.50780976255,25555105670.0,23682451114.512794
2015-02-20,24829.148438,19878.180175843885,28987376573.0,24236929252.318848
2015-02-21,24436.353516,20504.368697305363,31252098714.000004,24778427171.13642
2015-02-22,24188.843749999996,21021.146844378047,30199996781.0,25224168518.769844
2015-02-23,23947.492188,21359.957905359315,30476264066.0,25516218216.268913
2015-02-24,23198.126953,21489.118300338792,26811744928.0,25628804096.35916
2015-02-25,23175.375,21396.612128035806,16100721565.0,25552674745.909805
2015-02-26,23561.212891,21123.66459413116,16644534842.0,25323776794.74248
2015-02-27,23522.871094000002,20742.837041307535,22660763494.0,25003766283.052475
2015-02-28,23147.353516,20318.63335011523,20535363434.0,24646684747.067604
2015-03-01,23646.550781,19895.26713691624,24662841200.0,24287971531.66114
2015-03-02,23475.466797,19520.13322944289,20386398516.0,23965963258.62802
2015-03-03,22362.679688,19228.77523806877,26062404610.0,23708374944.297604
2015-03-04,22353.349609,19002.84898056129,11166012913.0,23498808733.456997
2015-03-05,22435.513672,18829.62559475818,13317001733.0,23322406929.83454
2015-03-06,22429.757813,18703.654444511063,17353192895.0,23171453049.49893
2015-03-07,22219.769531,18620.489063927344,22765452204.0,23040772263.0025
2015-03-08,21718.080078,18566.998922742445,22536575684.0,22921602138.06676
2015-03-09,20363.021484,18519.2867772093,30364664171.0,22798977768.71447
2015-03-10,20187.244141,18422.374305823952,39578257695.0,22636147144.896652
2015-03-11,20632.410156,18250.3077241555,30180288176.0,22421850632.655933
2015-03-12,22163.949219,18020.39089405155,29279035521.000004,22175171559.586582
2015-03-13,24197.533203,17805.590842978116,49466362688.0,21954615046.488003
2015-03-14,24746.074219,17745.346652652835,54622230164.0,21889498224.698997
2015-03-15,24375.960938,17964.380285524643,43655701450.0,22102768400.124046
2015-03-16,25052.789063,18467.341049877792,33866061747.0,22602138134.388153
2015-03-17,27423.929688,19199.823001254117,50730261335.0,23334979228.967625
2015-03-18,26965.878906,20153.465418103988,35723036817.0,24294066795.65432
2015-03-19,28038.675781,21232.050714859055,37769448859.0,25387137730.743664
2015-03-20,27767.236328,22354.315409400053,44774027664.0,26534992825.387325
2015-03-21,28175.816406,23416.157171310242,36102192830.0,27641783987.920776
2015-03-22,27307.4375,24339.696572232333,33382021890.000004,28632448735.208782
2015-03-23,28333.972656,24993.68454305483,24220433689.0,29381295454.37094
2015-03-24,27493.285156,25366.432542000446,25980310959.999996,29867956916.21684
2015-03-25,27494.707031,25439.93780472356,13383005987.0,30069152925.40915
2015-03-26,27994.330078,25248.181452679768,13878363192.0,30009983627.409283
2015-03-27,27139.888672,24878.273247217498,18188895178.0,29764379266.26666
2015-03-28,27268.130859,24384.470515597062,17783600385.0,29379255855.093945
2015-03-29,28348.441406,23838.10951278909,20684945906.0,28918207053.399574
2015-03-30,28033.5625,23337.0004383876,22435349951.000004,28467667417.723476
2015-03-31,28478.484375,22944.799653247006,19001327598.0,28083869746.08081
2015-04-01,28411.035156,22720.267184054548,10876469901.0,27818204095.63931
2015-04-02,28199.308594,22687.129565613803,12284641999.0,27686916659.101513
2015-04-03,27790.220703,22812.707081120654,19556501327.0,27655457147.689262
2015-04-04,28168.089844,23006.01788872039,15284538859.000002,27644574055.136875
2015-04-05,28177.984375,23215.66052136014,17052315986.0,27616906106.483147
2015-04-06,28044.140625,23407.115622327197,13837809380.0,27552763324.09245
2015-04-07,27925.859375,23555.94168759587,10861680497.0,27439413901.70876
2015-04-08,27947.794922,23651.430245558524,9373255556.0,27274363252.524055
2015-04-09,28333.050781,23699.887485421455,12175322951.0,27067291628.49147
2015-04-10,29652.980469,23731.11718037622,19282400094.0,26846133695.093266
2015-04-11,30235.058594,23824.741998344143,20121259843.0,26679605643.86817
2015-04-12,30139.052734,24039.86338389943,18651929926.0,26618250313.822704
2015-04-13,30399.066406,24368.821526330983,17487721001.0,26657018389.31086
2015-04-14,30485.699219,24767.57753490131,22659995079.0,26760650951.549267
2015-04-15,30318.496094,25167.381897218667,11940685378.0,26876128878.819466
2015-04-16,30315.355469,25505.02410402221,12854816416.999998,26953508137.5437
2015-04-17,29445.044922,25742.679070117203,17872186762.0,26963632917.544384
2015-04-18,30397.552734,25827.973291643175,19480529496.0,26867510264.438717
2015-04-19,28822.679688,25796.24151156052,24571565421.0,26696387885.098644
2015-04-20,28245.988281000005,25629.17168108483,21340360360.0,26441181718.12892
2015-04-21,27276.910156,25328.322272453075,20759504330.0,26107084897.07329
2015-04-22,27817.5,24908.37023812374,13125734602.0,25706831843.05865
2015-04-23,27591.384766,24432.11638589332,12785446832.0,25284430832.792507
2015-04-24,27525.339844,23961.795171534053,17703288330.0,24881646583.777695
2015-04-25,28307.597656,23548.028825980324,17733373139.0,24532456728.072285
2015-04-26,28422.701172,23263.836593551452,31854242019.0,24289106385.61783
2015-04-27,29473.787109,23145.854621859322,27153445027.0,24180092419.13319
2015-04-28,29340.261719,23232.723382346358,17544464887.0,24238885175.72807
2015-04-29,29248.488281,23504.953938688377,10662634333.0,24449089415.060455
2015-04-30,29268.806641,23896.42368788276,14652199272.0,24751901921.051987
2015-05-01,28091.568359,24316.73320682315,18655599976.0,25070571003.98674
2015-05-02,28680.537109,24622.59141669074,16432924527.000002,25290837266.418976
