Date,Close_Actual,Close_Predicted,Volume_Actual,Volume_Predicted
2014-12-31,254.320007,2140.5298319554013,25223500.0,2762525820.77766
2015-01-01,262.868988,2140.6925075368376,35901500.0,2762984076.8972673
2015-01-02,270.640015,2140.873258182878,43199600.0,2763490708.1279316
2015-01-03,261.643005,2141.0778578724935,22434300.0,2764065979.7188797
2015-01-04,263.437012,2141.3095701590146,25258800.0,2764715775.1295643
2015-01-05,269.463013,2141.5691481701338,30889800.0,2765446631.5371547
2015-01-06,266.272003,2141.8588512889264,25637299.999999996,2766260510.094803
2015-01-07,274.02301000000006,2142.177675345137,37808600.0,2767156757.084791
2015-01-08,276.496002,2142.5271265941483,29442500.0,2768136026.2248363
2015-01-09,281.653992,2142.9051966954494,25942400.0,2769198317.5149393
2015-01-10,283.679993,2143.3154002449355,45717100.0,2770348206.9791183
2015-01-11,285.299988,2143.7577372426067,32108800.0,2771586348.33509
2015-01-12,293.787994,2144.232207688463,46331800.0,2772916010.1714406
2015-01-13,304.618011,2144.7403178378877,50808100.0,2774340461.0767536
2015-01-14,313.855011,2145.286586457032,64495900.0,2775868853.0990677
2015-01-15,328.015015,2145.876536482303,78305000.0,2777523412.64076
2015-01-16,314.165985,2146.5194564885664,48598100.0,2779324404.9510574
2015-01-17,325.431,2147.220116284537,37001100.0,2781290134.126035
2015-01-18,361.188995,2147.9817794235464,101918000.0,2783423868.7542787
2015-01-19,403.416992,2148.814236565588,206162000.0,2785758948.4393535
2015-01-20,411.562988,2149.738826328598,263899999.99999997,2788354207.7757893
2015-01-21,386.354004,2150.782912352045,151824992.0,2791286785.45419
2015-01-22,374.470001,2151.962310317459,122687000.0,2794601134.27931
2015-01-23,386.481995,2153.2810369058625,56625100.0,2798306406.299189
2015-01-24,373.368011,2154.731811882901,51817600.0,2802381682.5468817
2015-01-25,380.256989,2156.3018320778133,68224400.0,2806785778.806218
2015-01-26,336.819,2157.97076304292,95797904.0,2811462475.3535385
2015-01-27,311.084015,2159.7059692449084,107070000.0,2816318944.27303
2015-01-28,338.152008,2161.4650244904715,78477800.0,2821231632.916182
2015-01-29,336.752991,2163.20600467143,52003000.0,2826084179.5293713
2015-01-30,332.906006,2164.8945169565245,38612000.0,2830780487.608201
2015-01-31,320.165985,2166.500185195517,44213100.0,2835236881.284897
2015-02-01,330.751007,2167.9974030468857,47980100.0,2839382759.046024
2015-02-02,335.093994,2169.3675933608974,51001600.0,2843167784.6273746
2015-02-03,334.589996,2170.6017186052513,43783800.0,2846569077.9088545
2015-02-04,326.148987,2171.6947579286684,45011100.0,2849576179.4069915
2015-02-05,322.022003,2172.6487196716594,53152900.0,2852193011.4280877
2015-02-06,326.927002,2173.4658632173005,28200500.0,2854430033.455615
2015-02-07,324.536011,2174.150707331743,23439399.999999996,2856300319.8439126
2015-02-08,323.04599,2174.711536419596,27478900.0,2857824789.5599246
2015-02-09,320.04599,2175.156634885471,29362600.0,2859032206.1831985
2015-02-10,328.2059939999999,2175.4950402616687,41666900.0,2859942834.9629602
2015-02-11,352.68399,2175.7385515486953,106105000.0,2860592630.373645
2015-02-12,358.041992,2175.9070011091026,55179100.0,2861038465.8566294
2015-02-13,357.381012,2176.0222296459533,36816600.0,2861339829.72416
2015-02-14,371.294006,2176.1070820325667,40409300.0,2861562747.4656525
2015-02-15,377.321014,2176.1854073125173,71701600.0,2861774552.005956
2015-02-16,362.488007,2176.2808034868167,60452200.0,2862039307.6813354
2015-02-17,359.187012,2176.4098393646846,54160500.0,2862403428.449697
